city;polyline;living;dates;notes
;;;;
ludwigsburg;TRUE;FALSE;;birth
tamm;TRUE;TRUE;;living through elementary school
asperg;TRUE;FALSE;;quick stop before moving to Freiberg
freiberg;TRUE;TRUE;;living through 2 years of highschool + playing football at SGV
tamm;TRUE;TRUE;;moving back to Tamm, going to highschool in Ludwigsburg, playing football still in Freiberg
asperg;TRUE;TRUE;;moving in grandma's house in asperg around 2016, almost done with school, still playing football
paris;TRUE;TRUE;;internship at Malka for 5 months, living in the 14th with cornelius
lyon;TRUE;TRUE;;almost did another semester in lyon at Uni but decided not to
asperg;TRUE;FALSE;;returning to asperg living with family doing uni
la balena alegre;TRUE;FALSE;;
;;;;
;;;;
;;;;
;;;;
;;;;
oma;FALSE;;;
