ludwigsburg;48.8898745296705, 9.18611523974878
tamm;48.91932447705677, 9.125882423770394
asperg;48.903728826191326, 9.137806382378091
freiberg;48.93020192048352, 9.19570030591613
obersaxen;46.75289864918065, 9.101931933646105
paris;48.856918220675546, 2.3513368826767245
lyon;45.765432038799, 4.834791055227649
la balena alegre;42.15827541504718, 3.1129846314691534
adora golf resort;36.861535576367075, 30.983204412822097
sylt;54.92070100571425, 8.325655794640122
hamburg;53.55526937981742, 10.003356455479034
berlin;52.517087543398965, 13.408311801623139
lausanne;46.52042482984103, 6.6382502742436875
vitra;47.60190772426836, 7.6188523367638785
oma;47.7839436667093, 9.127974507422824
zurich;47.37902606645148, 8.53742427921052
avoriaz;46.1922759434875, 6.775108605232309
bilbao;43.2635638753173, -2.9371693260970653
san sebastian;43.31777679606652, -1.9804013501544697
vienna;48.209092179618054, 16.366983169730094
graz;47.073081138112414, 15.438699067602375
rijeka;45.35565747641477, 14.470358662150653
split;43.5403795150735, 16.40636801120006
bol;43.2580717752551, 16.653908636094762
viganj;42.98560028957511, 17.09374014126659
milano;45.46273602399881, 9.185814382863867
torino;45.10343799233529, 7.720503765211819
genova;44.41171724013061, 8.939625381641319
barcelona;41.47596627663043, 2.0310092301536984
madrid;40.5258347300669, -3.6705894251870133
lisboa;38.82113803022704, -9.194830821615778
ericeira;38.96125912491716, -9.407619811195381
niort;46.323538554808565, -0.46544415240246206
munich;48.223273090749295, 11.65183121335322
puerto plata;19.780426609946293, -70.6956336573879
syndey;-33.868259492331674, 151.20461363273986
byron bay;-28.642948557405806, 153.6106728265052
canberra;-35.296500701391366, 149.12422249491945
agnes water;-24.21304090388501, 151.90053271157
brisbane;-27.46895579990072, 153.06106752782446
surfcamp;-34.76966546558005, 150.80810242843341
melbourne;-37.81350269025733, 144.98066578428714
tasmania;-41.892366209435984, 146.38820598185794
bali;-8.405622281241556, 115.15672672999956
lombok;-8.623611721565794, 116.33349285981537
singapore;1.3524371686949463, 103.86417098886406
ho chi minh city;10.823180285073665, 106.63238149600814
da nang;16.053406013800803, 108.20157704800343
mui ne;10.949154121547867, 108.20659991688352
